지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
119,수원,2023/02/07,104
119,수원,2023/02/08,82
119,수원,2023/02/09,47
119,수원,2023/02/10,32
119,수원,2023/02/11,68
119,수원,2023/02/12,92
119,수원,2023/02/13,35
119,수원,2023/02/14,47
119,수원,2023/02/15,20
119,수원,2023/02/16,35
119,수원,2023/02/17,53
119,수원,2023/02/18,96
119,수원,2023/02/19,60
119,수원,2023/02/20,30
119,수원,2023/02/21,35
119,수원,2023/02/22,54
119,수원,2023/02/23,43
119,수원,2023/02/24,50
119,수원,2023/02/25,37
119,수원,2023/02/26,45
119,수원,2023/02/27,63
119,수원,2023/02/28,51
119,수원,2023/03/01,45
119,수원,2023/03/02,45
119,수원,2023/03/03,35
119,수원,2023/03/04,67
119,수원,2023/03/05,86
119,수원,2023/03/06,68
119,수원,2023/03/07,68
119,수원,2023/03/08,57
119,수원,2023/03/09,64
119,수원,2023/03/10,82
119,수원,2023/03/11,100
119,수원,2023/03/12,53
119,수원,2023/03/13,28
119,수원,2023/03/14,31
119,수원,2023/03/15,38
119,수원,2023/03/16,51
119,수원,2023/03/17,42
119,수원,2023/03/18,60
119,수원,2023/03/19,97
119,수원,2023/03/20,86
119,수원,2023/03/21,94
119,수원,2023/03/22,101
119,수원,2023/03/23,109
119,수원,2023/03/24,117
119,수원,2023/03/25,83
119,수원,2023/03/26,60
119,수원,2023/03/27,57
119,수원,2023/03/28,69
119,수원,2023/03/29,93
119,수원,2023/03/30,103
119,수원,2023/03/31,131
119,수원,2023/04/01,112
119,수원,2023/04/02,76
119,수원,2023/04/03,58
119,수원,2023/04/04,41
119,수원,2023/04/05,31
119,수원,2023/04/06,107
119,수원,2023/04/07,79
119,수원,2023/04/08,32
119,수원,2023/04/09,58
119,수원,2023/04/10,51
119,수원,2023/04/11,55
119,수원,2023/04/12,230
119,수원,2023/04/13,185
119,수원,2023/04/14,93
119,수원,2023/04/15,66
119,수원,2023/04/16,109
119,수원,2023/04/17,101
119,수원,2023/04/18,57
119,수원,2023/04/19,45
119,수원,2023/04/20,41
119,수원,2023/04/21,66
119,수원,2023/04/22,83
119,수원,2023/04/23,89
119,수원,2023/04/24,67
119,수원,2023/04/25,43
119,수원,2023/04/26,38
119,수원,2023/04/27,52
119,수원,2023/04/28,48
119,수원,2023/04/29,34
119,수원,2023/04/30,45
119,수원,2023/05/01,53
119,수원,2023/05/02,45
119,수원,2023/05/03,52
119,수원,2023/05/04,46
119,수원,2023/05/05,15
119,수원,2023/05/06,15
119,수원,2023/05/07,51
119,수원,2023/05/08,47
119,수원,2023/05/09,66
119,수원,2023/05/10,73
119,수원,2023/05/11,61
119,수원,2023/05/12,59
119,수원,2023/05/13,48
119,수원,2023/05/14,34
119,수원,2023/05/15,44
119,수원,2023/05/16,63
119,수원,2023/05/17,38
119,수원,2023/05/18,33
