,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match
131,Doosan,Hanhwa,3,10,7.0,10.0,0,2.6,3.0,F. 페냐,File D.,18:30,목,잠실,10825,05,2023,0,0.0,22.0,48.0,20230504,14271.0,10912.4,lose
132,Samsung,Kiwoom,14,1,8.0,7.0,0,3.0,3.2,A. 수아레즈,최원태,18:30,목,대구,12076,05,2023,0,0.0,18.7,28.0,20230504,13394.0,11556.0,lose
133,Kiwoom,SSG,1,3,7.0,1.0,1,2.8,5.8,오원석,정찬헌,14:00,금,고척,16000,05,2023,0,26.5,18.8,15.0,20230505,3024.0,3251.2,win
134,Kiwoom,SSG,1,2,8.0,1.0,0,2.6,4.4,박종훈,안우진,17:00,토,고척,11063,05,2023,0,45.5,13.2,15.0,20230506,16000.0,5677.4,lose
135,Doosan,LG,1,11,8.0,2.0,0,3.0,4.2,C. 켈리,곽빈,14:00,일,잠실,22073,05,2023,0,0.0,14.9,36.0,20230507,10825.0,11698.2,lose
136,Kiwoom,SSG,6,7,8.0,1.0,0,2.2,4.8,백승건,김동혁,14:00,일,고척,7623,05,2023,0,0.0,15.3,36.0,20230507,11063.0,7106.4,lose
137,Hanhwa,KT,6,2,10.0,10.0,0,4.2,3.6,문동주,엄상백,14:00,일,대전,8551,05,2023,0,1.0,10.9,25.0,20230507,10442.0,9134.4,win
138,KIA,SSG,3,0,8.0,1.0,0,7.2,5.4,양현종,김광현,18:30,화,광주,8916,05,2023,0,0.0,15.1,31.0,20230509,13815.0,7147.6,lose
139,KT,NC,4,16,10.0,4.0,0,3.6,3.4,E. 페디,W. 벤자민,18:30,화,수원,2764,05,2023,0,0.0,14.1,66.0,20230509,14582.0,8362.4,lose
140,LG,Kiwoom,5,4,2.0,8.0,0,5.8,2.6,함덕주,양현,18:30,화,잠실,10421,05,2023,0,0.0,18.1,57.0,20230509,23750.0,18735.0,lose
141,Lotte,Doosan,2,5,3.0,8.0,0,4.4,2.4,R. 알칸타라,D. 스트레일리,18:30,화,사직,11643,05,2023,0,0.0,16.1,34.0,20230509,22990.0,12410.8,lose
142,Hanhwa,Samsung,1,9,9.0,8.0,0,5.0,3.8,D. 뷰캐넌,김민우,18:30,화,대전,5014,05,2023,0,0.0,15.2,37.0,20230509,8551.0,8614.2,lose
143,KIA,SSG,3,5,7.0,1.0,0,7.0,4.4,백승건,S. 앤더슨,18:30,수,광주,8481,05,2023,0,0.0,17.0,31.0,20230510,8916.0,8487.6,win
144,KT,NC,7,8,10.0,4.0,0,4.4,5.4,김진호,김재윤,18:30,수,수원,3734,05,2023,0,0.0,16.2,73.0,20230510,2764.0,8234.2,lose
145,LG,Kiwoom,1,11,2.0,8.0,0,6.2,2.6,최원태,정우영,18:30,수,잠실,12125,05,2023,0,0.0,19.5,59.0,20230510,10421.0,18735.4,win
